100
ToKillaMockingbird HarperLee
PrideandPrejudice JaneAusten
TheDiaryofAnneFrank AnneFrank
1984 GeorgeOrwell
HarryPotterandtheSorcerer'sStone J.K.Rowling
TheLordoftheRings J.R.R.Tolkien
TheGreatGatsby F.ScottFitzgerald
Charlotte'sWeb E.B.White
TheHobbit J.R.R.Tolkien
LittleWomen LouisaMayAlcott
Fahrenheit451 RayBradbury
JaneEyre CharlotteBronte
AnimalFarm GeorgeOrwell
GonewiththeWind MargaretMitchell
TheCatcherintheRye J.D.Salinger
TheBookThief MarkusZusak
TheAdventuresofHuckleberryFinn MarkTwain
TheHungerGames SuzanneCollins
TheHelp KathrynStockett
TheLion,theWitch,andtheWadrobe C.S.Lewis
TheGrapesofWrath JohnSteinbeck
TheLordoftheFlies WilliamGolding
TheKiteRunner KhaledHosseini
Night ElieWiesel
Hamlet WilliamShakespeare
AWrinkleinTime MadeleineL'Engle
OfMiceandMeny JohnSteinbeck
ATaleofTwoCities CharlesDickens
RomeoandJuliet WilliamShakespeare
TheHitchhikersGuidetotheGalaxy DouglasAdams
TheSecretGarden FrancesHodgsonBurnett
AChristmasCarol CharlesDickens
TheLittlePrince AntoinedeSaint-Exupery
BraveNewWorld AldousHuxley
HarryPotterandtheDeathlyHallows J.K.Rowling
TheGiver LoisLowry
TheHandmaid'sTale MargaretAtwood
WheretheSidewalkEnds ShelSilverstein
WutheringHeights EmilyBronte
TheFaultinOurStars JohnGreen
AnneofGreenGables L.M.Montgomery
TheAdventuresofTomSawyer MarkTwain
Macbeth WilliamShakespeare
TheGirlwithaDragonTattoo StiegLarrson
Frankenstein MaryShelley
TheHolyBible:King JamesVersion
TheColorPurple AliceWalker
TheCountofMonteCristo AlexandreDumas
ATreeGrowsinBrooklyn BettySmith
EastofEden JohnSteinbeck
AliceinWonderland LewisCarroll
InColdBlood TrumanCapote
Catch-22 JosephHeller
TheStand StephenKing
Outlander DianaGabaldon
HarryPotterandthePrisonerofAzkaban J.K.Rowling
EndersGame OrsonScottCard
AnnaKarenina LeoTolstoy
WatershipDown RichardAdams
MemoirsofaGeisha ArthurGolden
Rebecca DaphneduMaurier
AGameofThrones GeorgeR.R.Martin
GreatExpectations CharlesDickens
TheOldManandtheSea ErnestHemingway
TheAdventuresofSherlockHolmes ArthurConanDoyle
LesMiserables VictorHuge
HarryPotterandtheHalf-BloodPrince J.K.Rowling
LifeofPi YannMartel
TheScarletLetter NathanielHawthorne
CelebratingSilence:ExcerptsfromFiveYearsofWeeklyKnowledge SriSriRaviShankar
TheChroniclesofNarnia C.S.Lewis
ThePillarsftheEarth KenFollett
CatchingFire SuzanneCollins
CharlieandtheChocolateFactory RoaldDahl
Dracula BramStoker
ThePrincessBride WilliamGoldman
WaterforElephants SaraGruen
TheRavenEdgar AllanPoe
TheSecretLifeofBees SueMonkKidd
ThePoisonwoodBible:ANovel BarbaraKingsolver
OneHundredYearsofSolitude GabrielGarci­aMarquez
TheTimeTraveler'sWife AudreyNiffenegger
TheOdyssey Homer
TheGoodEarth PearlS.Buck
Mockingjay SuzanneCollins
AndThenThereWereNone AgathaChristie
TheThornBirds ColleenMcCullough
APrayerforOwenMeany JohnIrving
TheGlassCastle JeannetteWalls
TheImmortalLifeofHenriettaLacks RebeccaSkloot
CrimeandPunishment FyodorDostoyevsky
TheRoad CormacMcCarthy
TheThingsThey CarriedTimO'Brien
Siddhartha HermannHesse
Beloved ToniMorrison
Slaughterhouse-Five KurtVonnegut
CuttingForStone AbrahamVerghese
ThePhantomTollbooth NortonJuster
TheBrothersKaramazov FyodorDostoyevsky
TheStoryofMyLife HelenKeller
